Edad,Empleo,Estudios,Grados de estudio,Puesto,Rol familiar,Raza,Genero,Pais de nacimiento,Salario(K),Race
44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female, United-States,32, White
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,38, White
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,36, White
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, United-States,20, Other
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, ?,33, White
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, Honduras,34, White
50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,20, White
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,37, White
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,26, White
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,33, White
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, Puerto-Rico,42, White
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,30, White
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,27, White
30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,27, White
32, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male, ?,28, White
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,38, White
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,42, White
29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male, United-States,45, White
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,45, White
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,44, White
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,29, White
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,38, White
25, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States,32, White
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male, United-States,20, White
31, Private, Bachelors, Separated, Sales, Own-child, Black, Female, United-States,39, Black
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,45, White
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,48, White
79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States,31, White
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, Mexico,29, White
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,49, White
67, ?, 10th, Married-civ-spouse, ?, Husband, White, Male, United-States,42, White
18, Private, 11th, Never-married, Other-service, Own-child, White, Female, United-States,29, White
31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,43, White
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States,31, White
52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, Cuba,26, White
46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States,27, White
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,38, White
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, United-States,41, White
53, Private, HS-grad, Divorced, Sales, Own-child, White, Female, United-States,46, White
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,36, White
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,34, White
30, Private, 9th, Never-married, Sales, Not-in-family, White, Male, United-States,49, White
43, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,44, White
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,27, White
37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female, United-States,47, White
28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States,34, Black
30, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, ?,35, Asian-Pac-Islander
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,49, White
29, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,31, White
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,26, White
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,23, White
48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female, England,27, White
32, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male, United-States,40, Black
76, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,44, White
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,44, White
47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,37, White
20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States,29, White
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States,33, White
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,38, White
17, ?, 10th, Never-married, ?, Own-child, White, Female, United-States,37, White
30, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,39, White
31, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,23, White
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,47, White
24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male, United-States,20, White
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,25, White
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Canada,42, White
28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States,30, White
36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female, United-States,49, White
53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,25, White
56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,48, White
49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,42, Black
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,39, White
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States,40, White
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States,27, White
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,45, White
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male, Germany,22, Black
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,25, White
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male, United-States,23, Black
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,25, White
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States,25, White
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,25, White
35, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States,21, White
39, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States,38, White
28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female, United-States,26, White
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States,34, White
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,34, White
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,35, White
46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female, United-States,39, Black
38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, Iran,40, White
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,35, White
27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,23, White
20, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States,28, White
49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States,32, Asian-Pac-Islander
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,35, White
27, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States,36, White
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male, Mexico,41, White
45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,21, White
70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male, United-States,24, White
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female, United-States,42, Black
22, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States,36, White
36, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female, United-States,46, White
64, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,46, White
43, ?, Some-college, Divorced, ?, Not-in-family, White, Female, United-States,33, White
47, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, Mexico,28, White
34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,28, White
33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Philippines,33, Asian-Pac-Islander
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,33, White
52, ?, HS-grad, Divorced, ?, Not-in-family, White, Male, United-States,34, White
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,34, White
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,47, White
71, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male, United-States,30, Black
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States,44, White
42, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male, United-States,30, Black
68, ?, 1st-4th, Divorced, ?, Not-in-family, White, Female, United-States,37, White
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States,35, White
44, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, United-States,32, Asian-Pac-Islander
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England,29, Asian-Pac-Islander
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States,38, White
36, Private, Some-college, Divorced, Other-service, Unmarried, White, Female, Mexico,34, White
39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,29, White
46, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male, United-States,35, White
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,38, White
66, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female, United-States,38, White
27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States,43, White
28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,31, White
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,38, White
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States,26, White
28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,26, White
27, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female, United-States,31, White
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, United-States,24, Black
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States,29, Black
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States,37, White
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,44, White
44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States,33, Black
43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,25, White
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male, United-States,28, Black
40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,33, White
37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,37, White
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States,45, Black
41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,21, White
53, ?, Bachelors, Divorced, ?, Not-in-family, White, Female, United-States,43, White
31, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,49, White
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,45, White
38, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States,27, Black
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,30, White
41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,43, Black
47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,32, White
41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,45, White
23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male, Mexico,35, White
36, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States,46, White
40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,37, White
35, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States,26, White
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States,37, White
26, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,21, White
19, ?, HS-grad, Never-married, ?, Own-child, White, Male, Italy,32, White
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,25, White
42, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,38, White
37, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,37, White
18, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States,39, White
36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male, United-States,48, Black
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States,39, White
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States,30, White
17, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States,23, White
44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,36, Black
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,47, White
35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, United-States,36, Amer-Indian-Eskimo
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States,28, Asian-Pac-Islander
54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,44, White
37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States,32, Black
50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female, United-States,37, White
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, Poland,28, White
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,42, White
25, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male, United-States,47, White
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,37, White
64, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male, United-States,23, White
90, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, United-States,42, Black
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States,33, Black
53, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States,41, White
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States,42, White
60, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, United-States,49, Amer-Indian-Eskimo
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,34, White
75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female, Columbia,22, White
65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,40, White
35, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male, United-States,30, Black
41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female, United-States,31, Black
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,39, White
33, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female, United-States,24, Other
28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,34, White
59, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States,23, White
40, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,25, White
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, Iran,46, White
38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,30, White
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States,32, White
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,38, White
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States,42, White
24, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,44, White
20, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States,23, White
38, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States,42, White
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?,21, White
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,37, White
32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States,41, White
40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,21, White
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?,47, White
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,27, White
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States,26, Black
59, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female, United-States,39, Black
19, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States,33, White
58, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States,35, White
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, Cambodia,41, Asian-Pac-Islander
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States,40, White
32, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female, United-States,32, White
45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female, United-States,28, White
50, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male, United-States,46, White
36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, United-States,35, White
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,29, White
17, Private, 11th, Never-married, Other-service, Own-child, White, Male, United-States,35, White
59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,42, White
26, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,28, White
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Thailand,21, Asian-Pac-Islander
19, ?, Some-college, Never-married, ?, Own-child, White, Male, Canada,48, White
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,21, White
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,46, White
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States,31, White
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,33, White
17, Private, 9th, Never-married, Other-service, Own-child, White, Male, United-States,29, White
50, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,24, White
27, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male, United-States,47, White
30, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female, United-States,47, White
43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States,32, Black
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,20, White
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,32, White
25, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States,27, White
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States,49, White
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, Germany,44, White
42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,25, White
34, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female, United-States,24, Black
60, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,41, White
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,20, White
57, Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States,24, White
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,48, White
50, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male, United-States,48, White
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,36, White
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, Ecuador,47, White
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,24, White
31, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,45, White
29, Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States,20, White
21, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States,31, White
27, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female, United-States,36, Black
65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,32, White
37, Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female, United-States,21, White
39, ?, Masters, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female, ?,20, Asian-Pac-Islander
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,39, White
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male, United-States,46, White
48, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,25, White
21, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, United-States,32, Asian-Pac-Islander
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,28, White
